,adversary,target,technique,publish date,motive,interesting_insight
0,China-sponsored hackers,a prominent politician,spearfishing attack,May 2023,European governments are increasingly willing to challenge China over cyber offences,Belgium’s cyber security agency has linked the attack to China-sponsored hackers
1,Chinese hackers,communications networks at a U.S. outpost in Guam,used legitimate credentials,May 2023,,making it harder to detect them
2,Chinese hackers,"Kenyan government ministries and state institutions, including the presidential office",Hacking,May 2023,gaining information on debt owed to Beijing,
3,likely Russia state group,government organizations in Central Asia,previously unknown malware,May 2023,document exfiltration,
4,An unidentified group,targets in both Russia and Ukraine,Unknown,May 2023,surveillance and data gathering,Unknown
5,Russian-linked hackivist,Ukraine’s system for managing border crossings by commercial trucks,phishing campaign,May 2023,Unknown,The attack was unsuccessful
6,Sudan-linked hackers,Israeli Supreme Court’s website,DDoS attack,April 2023,religiously motivated,"The group has been active since at least January 2023, attacking critical infrastructure in Northern Europe"
7,Russian,Ukraine and other European countries who have provided Ukraine with humanitarian aid during the war in Ukraine,ransomware and supply chain attacks,April 2023,war in Ukraine,There were no indications of these attacks against U.S. networks
8,Iranian state-linked hackers,critical infrastructure in the U.S. and other countries,previously unseen customized dropper malware,April 2023,support the Iranian government’s interests,"The hacking group has been active since at least 2014, conducting social engineering and espionage operations"
9,Chinese-language hackers,South Korean research and academic institutions,data exfiltration attacks,January 2023,patriotism for China,Recorded Future released a report in April 2023 revealing these attacks
10,North Korea-linked hackers,3CX Desktop App software,software supply chain attack,April 2023,Unknown,This is Mandiant’s first discovery of a software supply chain attack leveraging vulnerabilities from a previous software supply chain attack.
11,Chinese hackers,telecommunication services providers in Africa,"gathers information including keystrokes, browser data, records audio, and captures data from individual targets on the network",April 2023,espionage campaign,"the group has targeted pro-domestic human rights and pro-democracy advocates, including nation-states, since at least 2014"
12,A Russia-linked threat group,Canadian prime Minister Justin Trudeau,DDoS attack,April 2023,retaliation,The operation’s timing coincided with the Canadian government’s meeting with Ukrainian Prime Minister Denys Shmyhal
13,North Korea-linked hackers,defense industry firms in Eastern Europe and Africa,espionage,April 2023,espionage,The hacking group shifted its focus in 2020 from financially motivated coin-mining attacks to espionage
14,Unknown,"iPhones of over 5 journalists, political opposition figures, and an NGO worker",malicious calendar invitations,April 2023,Unclear,Researchers discovered Israeli spyware
15,Ukraine-linked hacktivists,"email of Russian GRU Unit26165’s leader, Lieutenant Colonel Sergey Alexandrovich",leaking his correspondence to a volunteer intelligence analysis group,April 2023,Unknown,"The exfiltrated data contained Alexandrovich’s personal information, unit personnel files, and information on Russian cyberattack tools"
16,North Korean-linked hackers,people with expertise on North Korea policy issues,phishing campaign,April 2023,Unknown,Hackers posed as journalists requesting interviews from targets
17,Russian hackers,French National Assembly’s website,DDoS attack,March 2023,French government’s support for Ukraine,The attack was announced in a Telegram post
18,Vietnamese espionage group,U.S. federal agency,Used a vulnerability in the agency’s Microsoft Internet Information Services (IIS) server to install malware,March 2023,Cyberespionage,Multiple attackers were involved in the attack
19,A Chinese cyberespionage group,an East Asian data protection company who serves military and government entities,Unknown,March 2023,Unknown,The attack lasted approximately a year
20,A South Asian hacking group,firms in China’s nuclear energy industry,espionage campaign,March 2023,espionage,"Researchers believe the group commonly targets the energy and government sectors of Pakistan, China, Bangladesh, and Saudi Arabia."
21,Unknown,Estonia's internet voting system,Unknown,March 2023,Unknown,The attack was unsuccessful
22,North Korean hackers,U.S.-based cybersecurity research firms,phishing campaign,March 2023,deliver malware for cyberespionage,
23,A Chinese cyber espionage group,"government entities in Vietnam, Thailand, and Indonesia",using newly developed malware optimized to evade detection,March 2023,espionage,The malware used was newly developed and optimized to evade detection
24,Russian hackers,"U.S. and European politicians, businesspeople, and celebrities",social engineering campaigns,March 2023,to obtain pro-Putin or pro-Russian soundbites and discredit victims’ previous anti-Putin statements,The targets were individuals who have publicly denounced Vladimir Putin’s invasion of Ukraine
25,Chinese espionage group,political organizations in Taiwan and Ukraine,new exploit,March 2023,espionage,The exploit was discovered by Slovakian cybersecurity researchers
26,Russia hackers,official tax service website of Poland,DDoS attack,March 2023,Not explicitly mentioned,"Hackers blocked users’ access to the site for approximately an hour, but no data was leaked in the attack. A pro-Russian hacking group had earlier published a statement on Telegram about its intention to attack the Polish tax service."
27,Russian hackers,Ukrainian organizations,phishing campaign,February 2023,steal information,"The malware is capable of extracting account information and files, as well as taking screenshots. Researchers believe the group is a key player in Russia’s cyber campaigns against Ukraine."
28,A pro-Russian hacking group,NATO networks,DDoS attacks,February 2023,Disrupt communications between NATO and airplanes providing earthquake aid to a Turkish airbase,The attack also took NATO’s sites offline temporarily
29,Russia-linked hackers,Polish public,Disinformation campaign via email,February 2023,Spread anti-Ukrainian refugee disinformation,Polish officials reported the campaign
30,A North Korean hacking group,"medical research, healthcare, defense, energy, chemical engineering and a research university",espionage campaign,between August and November 2022,exfiltrating over 100MB of data from each victim,The group is linked to the North Korean government
31,Russian hackers,Latvian Ministry of Defense,phishing campaign,February 2023,Unknown,The operation was unsuccessful
